Make,Model,Year,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(KMPL),Engine(CC),Power(BHP),Seats,Price(Lakhs)
Maruti,Wagon,2010,Mumbai,72000,CNG,Manual,First,26.0,998.0,58.0,5.0,1.75
Hyundai,Creta,2015,Pune,41000,Diesel,Manual,First,19.0,1582.0,126.0,5.0,12.5
Honda,Jazz,2011,Chennai,46000,Petrol,Manual,First,18.0,1199.0,88.0,5.0,4.5
Maruti,Ertiga,2012,Chennai,87000,Diesel,Manual,First,20.0,1248.0,88.0,7.0,6.0
Audi,A4,2013,Coimbatore,40670,Diesel,Automatic,Second,15.0,1968.0,140.0,5.0,17.74
Hyundai,EON,2012,Hyderabad,75000,LPG,Manual,First,21.0,814.0,55.0,5.0,2.35
Nissan,Micra,2013,Jaipur,86999,Diesel,Manual,First,23.0,1461.0,63.0,5.0,3.5
Toyota,Innova,2016,Mumbai,36000,Diesel,Automatic,First,11.0,2755.0,171.0,8.0,17.5
Volkswagen,Vento,2013,Pune,64430,Diesel,Manual,First,20.0,1598.0,103.0,5.0,5.2
Tata,Indica,2012,Chennai,65932,Diesel,Manual,Second,22.0,1248.0,74.0,5.0,1.95
Maruti,Ciaz,2018,Kochi,25692,Petrol,Manual,First,21.0,1462.0,103.0,5.0,9.95
Honda,City,2012,Kolkata,60000,Petrol,Automatic,First,16.0,1497.0,116.0,5.0,4.49
Maruti,Swift,2015,Jaipur,64424,Diesel,Manual,First,25.0,1248.0,74.0,5.0,5.6
Land,Rover,2014,Delhi,72000,Diesel,Automatic,First,12.0,2179.0,187.0,5.0,27.0
Mitsubishi,Pajero,2014,Delhi,110000,Diesel,Manual,First,13.0,2477.0,175.0,7.0,15.0
Honda,Amaze,2016,Kochi,58950,Diesel,Manual,First,25.0,1498.0,98.0,5.0,5.4
Renault,Duster,2014,Kochi,77469,Diesel,Manual,First,20.0,1461.0,83.0,5.0,6.34
Mercedes-Benz,New,2014,Bangalore,78500,Diesel,Automatic,First,14.0,2143.0,167.0,5.0,28.0
BMW,3,2014,Kochi,32982,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,18.55
Maruti,S,2015,Bangalore,55392,Diesel,Manual,Second,23.0,1248.0,88.0,5.0,8.25
Audi,A6,2015,Mumbai,55985,Petrol,Automatic,First,13.0,1984.0,177.0,5.0,23.5
Hyundai,i20,2010,Kolkata,45807,Petrol,Manual,First,18.0,1197.0,80.0,5.0,1.87
Volkswagen,Vento,2010,Kolkata,33000,Petrol,Automatic,First,14.0,1598.0,103.0,5.0,2.85
Honda,City,2012,Mumbai,51920,Petrol,Manual,First,16.0,1497.0,116.0,5.0,4.25
Nissan,Micra,2012,Hyderabad,54000,Diesel,Manual,First,23.0,1461.0,63.0,5.0,4.25
Maruti,Alto,2013,Hyderabad,54000,Petrol,Manual,Second,20.0,998.0,67.0,5.0,2.75
Honda,WRV,2018,Kochi,37430,Petrol,Manual,First,17.0,1199.0,88.0,5.0,9.9
Renault,Duster,2013,Bangalore,62000,Diesel,Manual,First,19.0,1461.0,108.0,5.0,7.75
Toyota,Corolla,2012,Delhi,87615,Petrol,Manual,First,14.0,1798.0,138.0,5.0,6.75
Mahindra,Ssangyong,2013,Bangalore,72000,Diesel,Automatic,Second,11.0,2696.0,184.0,7.0,12.5
Audi,A6,2010,Kolkata,35000,Diesel,Automatic,First,12.0,2698.0,179.0,5.0,11.5
Volkswagen,Vento,2014,Coimbatore,55431,Petrol,Manual,Second,16.0,1598.0,103.0,5.0,6.98
Maruti,Wagon,2009,Jaipur,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
Maruti,Vitara,2018,Kochi,50075,Diesel,Manual,First,24.0,1248.0,88.0,5.0,8.63
Mahindra,KUV,2017,Delhi,52000,Petrol,Manual,First,18.0,1198.0,82.0,5.0,4.85
Volkswagen,Polo,2013,Chennai,62000,Diesel,Manual,First,22.0,1199.0,73.0,5.0,5.0
